,pclass,survived,sex,age,sibsp,parch,fare,embarked
203,1,0,1,28.0,1,0,82.1708,0
204,1,1,0,28.0,1,0,82.1708,0
205,1,0,1,65.0,0,0,26.55,3
206,1,0,1,44.0,2,0,90.0,2
207,1,1,0,33.0,1,0,90.0,2
208,1,1,0,37.0,1,0,90.0,2
209,1,1,1,30.0,1,0,57.75,0
210,1,0,1,55.0,0,0,30.5,3
211,1,0,1,47.0,0,0,42.4,3
212,1,0,1,37.0,0,1,29.7,0
213,1,1,0,31.0,1,0,113.275,0
214,1,1,0,23.0,1,0,113.275,0
215,1,0,1,58.0,0,2,113.275,0
216,1,1,0,19.0,0,2,26.2833,3
217,1,0,1,64.0,0,0,26.0,3
218,1,1,0,39.0,0,0,108.9,0
219,1,1,1,28.0,0,0,25.7417,0
220,1,1,0,22.0,0,1,61.9792,0
221,1,0,1,65.0,0,1,61.9792,0
222,1,0,1,28.5,0,0,27.7208,0
223,1,0,1,28.0,0,0,0.0,3
224,1,0,1,45.5,0,0,28.5,3
225,1,0,1,23.0,0,0,93.5,3
226,1,0,1,29.0,1,0,66.6,3
227,1,1,0,22.0,1,0,66.6,3
228,1,0,1,18.0,1,0,108.9,0
229,1,1,0,17.0,1,0,108.9,0
230,1,1,0,30.0,0,0,93.5,3
231,1,1,1,52.0,0,0,30.5,3
232,1,0,1,47.0,0,0,52.0,3
233,1,1,0,56.0,0,1,83.1583,0
234,1,0,1,38.0,0,0,0.0,3
235,1,1,1,28.0,0,0,39.6,3
236,1,0,1,22.0,0,0,135.6333,0
237,1,0,1,28.0,0,0,227.525,0
238,1,1,0,43.0,0,1,211.3375,3
239,1,0,1,31.0,0,0,50.4958,3
240,1,1,1,45.0,0,0,26.55,3
241,1,0,1,28.0,0,0,50.0,3
242,1,1,0,33.0,0,0,27.7208,0
243,1,0,1,46.0,0,0,79.2,0
244,1,0,1,36.0,0,0,40.125,0
245,1,1,0,33.0,0,0,86.5,3
246,1,0,1,55.0,1,0,59.4,0
247,1,1,0,54.0,1,0,59.4,0
248,1,0,1,33.0,0,0,26.55,3
249,1,1,1,13.0,2,2,262.375,0
250,1,1,0,18.0,2,2,262.375,0
251,1,1,0,21.0,2,2,262.375,0
252,1,0,1,61.0,1,3,262.375,0
253,1,1,0,48.0,1,3,262.375,0
254,1,1,1,28.0,0,0,30.5,3
255,1,1,0,24.0,0,0,69.3,0
256,1,1,1,28.0,0,0,26.0,3
257,1,1,0,35.0,1,0,57.75,0
258,1,1,0,30.0,0,0,31.0,0
259,1,1,1,34.0,0,0,26.55,3
260,1,1,0,40.0,0,0,153.4625,3
261,1,1,1,35.0,0,0,26.2875,3
262,1,0,1,50.0,1,0,55.9,3
263,1,1,0,39.0,1,0,55.9,3
264,1,1,1,56.0,0,0,35.5,0
265,1,1,1,28.0,0,0,35.5,3
266,1,0,1,56.0,0,0,26.55,3
267,1,0,1,56.0,0,0,30.6958,0
268,1,0,1,24.0,1,0,60.0,3
269,1,0,1,28.0,0,0,26.0,3
270,1,1,0,18.0,1,0,60.0,3
271,1,1,1,24.0,1,0,82.2667,3
272,1,1,0,23.0,1,0,82.2667,3
273,1,1,1,6.0,0,2,134.5,0
274,1,1,1,45.0,1,1,134.5,0
275,1,1,0,40.0,1,1,134.5,0
276,1,0,1,57.0,1,0,146.5208,0
277,1,1,0,28.0,1,0,146.5208,0
278,1,1,1,32.0,0,0,30.5,0
279,1,0,1,62.0,0,0,26.55,3
280,1,1,1,54.0,1,0,55.4417,0
281,1,1,0,43.0,1,0,55.4417,0
282,1,1,0,52.0,1,0,78.2667,0
283,1,0,1,28.0,0,0,27.7208,0
284,1,1,0,62.0,0,0,80.0,1
285,1,0,1,67.0,1,0,221.7792,3
286,1,0,0,63.0,1,0,221.7792,3
287,1,0,1,61.0,0,0,32.3208,3
288,1,1,0,48.0,0,0,25.9292,3
289,1,1,0,18.0,0,2,79.65,3
290,1,0,1,52.0,1,1,79.65,3
291,1,1,0,39.0,1,1,79.65,3
292,1,1,1,48.0,1,0,52.0,3
293,1,1,0,28.0,1,0,52.0,3
294,1,0,1,49.0,1,1,110.8833,0
295,1,1,1,17.0,0,2,110.8833,0
296,1,1,0,39.0,1,1,110.8833,0
297,1,1,0,28.0,0,0,79.2,0
298,1,1,1,31.0,0,0,28.5375,0
299,1,0,1,40.0,0,0,27.7208,0
300,1,0,1,61.0,0,0,33.5,3
301,1,0,1,47.0,0,0,34.0208,3
302,1,1,0,35.0,0,0,512.3292,0
303,1,0,1,64.0,1,0,75.25,0
304,1,1,0,60.0,1,0,75.25,0
305,1,0,1,60.0,0,0,26.55,3
306,1,0,1,54.0,0,1,77.2875,3
307,1,0,1,21.0,0,1,77.2875,3
308,1,1,0,55.0,0,0,135.6333,0
309,1,1,0,31.0,0,2,164.8667,3
310,1,0,1,57.0,1,1,164.8667,3
311,1,1,0,45.0,1,1,164.8667,3
312,1,0,1,50.0,1,1,211.5,0
313,1,0,1,27.0,0,2,211.5,0
314,1,1,0,50.0,1,1,211.5,0
315,1,1,0,21.0,0,0,26.55,3
316,1,0,1,51.0,0,1,61.3792,0
317,1,1,1,21.0,0,1,61.3792,0
318,1,0,1,28.0,0,0,35.0,3
319,1,1,0,31.0,0,0,134.5,0
320,1,1,1,28.0,0,0,35.5,3
321,1,0,1,62.0,0,0,26.55,3
322,1,1,0,36.0,0,0,135.6333,0
323,2,0,1,30.0,1,0,24.0,0
324,2,1,0,28.0,1,0,24.0,0
325,2,0,1,30.0,0,0,13.0,3
326,2,0,1,18.0,0,0,11.5,3
327,2,0,1,25.0,0,0,10.5,3
328,2,0,1,34.0,1,0,26.0,3
329,2,1,0,36.0,1,0,26.0,3
330,2,0,1,57.0,0,0,13.0,3
331,2,0,1,18.0,0,0,11.5,3
332,2,0,1,23.0,0,0,10.5,3
333,2,1,0,36.0,0,0,13.0,3
334,2,0,1,28.0,0,0,10.5,3
335,2,0,1,51.0,0,0,12.525,3
336,2,1,1,32.0,1,0,26.0,3
337,2,1,0,19.0,1,0,26.0,3
338,2,0,1,28.0,0,0,26.0,3
339,2,1,1,1.0,2,1,39.0,3
340,2,1,0,4.0,2,1,39.0,3
341,2,1,0,12.0,2,1,39.0,3
342,2,1,0,36.0,0,3,39.0,3
343,2,1,1,34.0,0,0,13.0,3
344,2,1,0,19.0,0,0,13.0,3
345,2,0,1,23.0,0,0,13.0,3
346,2,0,1,26.0,0,0,13.0,3
347,2,0,1,42.0,0,0,13.0,3
348,2,0,1,27.0,0,0,13.0,3
349,2,1,0,24.0,0,0,13.0,3
350,2,1,0,15.0,0,2,39.0,3
351,2,0,1,60.0,1,1,39.0,3
352,2,1,0,40.0,1,1,39.0,3
353,2,1,0,20.0,1,0,26.0,3
354,2,0,1,25.0,1,0,26.0,3
355,2,1,0,36.0,0,0,13.0,3
356,2,0,1,25.0,0,0,13.0,3
357,2,0,1,42.0,0,0,13.0,3
358,2,1,0,42.0,0,0,13.0,3
359,2,1,1,0.8333,0,2,29.0,3
360,2,1,1,26.0,1,1,29.0,3
361,2,1,0,22.0,1,1,29.0,3
362,2,1,0,35.0,0,0,21.0,3
363,2,0,1,28.0,0,0,0.0,3
364,2,0,1,19.0,0,0,13.0,3
365,2,0,0,44.0,1,0,26.0,3
366,2,0,1,54.0,1,0,26.0,3
367,2,0,1,52.0,0,0,13.5,3
368,2,0,1,37.0,1,0,26.0,3
369,2,0,0,29.0,1,0,26.0,3
370,2,1,0,25.0,1,1,30.0,3
371,2,1,0,45.0,0,2,30.0,3
372,2,0,1,29.0,1,0,26.0,3
373,2,1,0,28.0,1,0,26.0,3
374,2,0,1,29.0,0,0,10.5,3
375,2,0,1,28.0,0,0,13.0,3
376,2,1,1,24.0,0,0,10.5,3
377,2,1,0,8.0,0,2,26.25,3
378,2,0,1,31.0,1,1,26.25,3
379,2,1,0,31.0,1,1,26.25,3
380,2,1,0,22.0,0,0,10.5,3
381,2,0,0,30.0,0,0,13.0,3
382,2,0,0,28.0,0,0,21.0,3
383,2,0,1,21.0,0,0,11.5,3
384,2,0,1,28.0,0,0,0.0,3
385,2,1,1,8.0,1,1,36.75,3
386,2,0,1,18.0,0,0,73.5,3
387,2,1,0,48.0,0,2,36.75,3
388,2,1,0,28.0,0,0,13.0,3
389,2,0,1,32.0,0,0,13.0,3
390,2,0,1,17.0,0,0,73.5,3
391,2,0,1,29.0,1,0,27.7208,0
392,2,1,0,24.0,1,0,27.7208,0
393,2,0,1,25.0,0,0,31.5,3
394,2,0,1,18.0,0,0,73.5,3
395,2,1,0,18.0,0,1,23.0,3
396,2,1,0,34.0,0,1,23.0,3
397,2,0,1,54.0,0,0,26.0,3
398,2,1,1,8.0,0,2,32.5,3
399,2,0,1,42.0,1,1,32.5,3
400,2,1,0,34.0,1,1,32.5,3
401,2,1,0,27.0,1,0,13.8583,0
402,2,1,0,30.0,1,0,13.8583,0
403,2,0,1,23.0,0,0,13.0,3
404,2,0,1,21.0,0,0,13.0,3
405,2,0,1,18.0,0,0,13.0,3
406,2,0,1,40.0,1,0,26.0,3
407,2,1,0,29.0,1,0,26.0,3
408,2,0,1,18.0,0,0,10.5,3
409,2,0,1,36.0,0,0,13.0,3
410,2,0,1,28.0,0,0,0.0,3
411,2,0,0,38.0,0,0,13.0,3
412,2,0,1,35.0,0,0,26.0,3
413,2,0,1,38.0,1,0,21.0,3
414,2,0,1,34.0,1,0,21.0,3
415,2,1,0,34.0,0,0,13.0,3
416,2,0,1,16.0,0,0,26.0,3
417,2,0,1,26.0,0,0,10.5,3
418,2,0,1,47.0,0,0,10.5,3
419,2,0,1,21.0,1,0,11.5,3
420,2,0,1,21.0,1,0,11.5,3
421,2,0,1,24.0,0,0,13.5,3
422,2,0,1,24.0,0,0,13.0,3
423,2,0,1,34.0,0,0,13.0,3
424,2,0,1,30.0,0,0,13.0,3
425,2,0,1,52.0,0,0,13.0,3
426,2,0,1,30.0,0,0,13.0,3
427,2,1,1,0.6667,1,1,14.5,3
428,2,1,0,24.0,0,2,14.5,3
429,2,0,1,44.0,0,0,13.0,3
430,2,1,0,6.0,0,1,33.0,3
431,2,0,1,28.0,0,1,33.0,3
432,2,1,1,62.0,0,0,10.5,3
433,2,0,1,30.0,0,0,10.5,3
434,2,1,0,7.0,0,2,26.25,3
435,2,0,1,43.0,1,1,26.25,3
436,2,1,0,45.0,1,1,26.25,3
437,2,1,0,24.0,1,2,65.0,3
438,2,1,0,24.0,1,2,65.0,3
439,2,0,1,49.0,1,2,65.0,3
440,2,1,0,48.0,1,2,65.0,3
441,2,1,0,55.0,0,0,16.0,3
442,2,0,1,24.0,2,0,73.5,3
443,2,0,1,32.0,2,0,73.5,3
444,2,0,1,21.0,2,0,73.5,3
445,2,0,0,18.0,1,1,13.0,3
446,2,1,0,20.0,2,1,23.0,3
447,2,0,1,23.0,2,1,11.5,3
448,2,0,1,36.0,0,0,13.0,3
449,2,1,0,54.0,1,3,23.0,3
450,2,0,1,50.0,0,0,13.0,3
451,2,0,1,44.0,1,0,26.0,3
452,2,1,0,29.0,1,0,26.0,3
453,2,0,1,21.0,0,0,73.5,3
454,2,1,1,42.0,0,0,13.0,3
455,2,0,1,63.0,1,0,26.0,3
456,2,0,0,60.0,1,0,26.0,3
457,2,0,1,33.0,0,0,12.275,3
458,2,1,0,17.0,0,0,10.5,3
459,2,0,1,42.0,1,0,27.0,3
460,2,1,0,24.0,2,1,27.0,3
461,2,0,1,47.0,0,0,15.0,3
462,2,0,1,24.0,2,0,31.5,3
463,2,0,1,22.0,2,0,31.5,3
464,2,0,1,32.0,0,0,10.5,3
465,2,1,0,23.0,0,0,13.7917,0
466,2,0,1,34.0,1,0,26.0,3
467,2,1,0,24.0,1,0,26.0,3
468,2,0,0,22.0,0,0,21.0,3
469,2,1,0,28.0,0,0,12.35,2
470,2,0,1,35.0,0,0,12.35,2
471,2,1,0,45.0,0,0,13.5,3
472,2,0,1,57.0,0,0,12.35,2
473,2,0,1,28.0,0,0,0.0,3
474,2,0,1,31.0,0,0,10.5,3
475,2,0,0,26.0,1,1,26.0,3
476,2,0,1,30.0,1,1,26.0,3
477,2,0,1,28.0,0,0,10.7083,2
478,2,1,0,1.0,1,2,41.5792,0
479,2,1,0,3.0,1,2,41.5792,0
480,2,0,1,25.0,1,2,41.5792,0
481,2,1,0,22.0,1,2,41.5792,0
482,2,1,0,17.0,0,0,12.0,0
483,2,1,0,28.0,0,0,33.0,3
484,2,1,0,34.0,0,0,10.5,3
485,2,0,1,36.0,0,0,12.875,0
486,2,0,1,24.0,0,0,10.5,3
487,2,0,1,61.0,0,0,12.35,2
488,2,0,1,50.0,1,0,26.0,3
489,2,1,0,42.0,1,0,26.0,3
490,2,0,0,57.0,0,0,10.5,3
491,2,0,1,28.0,0,0,15.0458,0
492,2,1,1,1.0,0,2,37.0042,0
493,2,0,1,31.0,1,1,37.0042,0
494,2,1,0,24.0,1,1,37.0042,0
495,2,0,1,28.0,0,0,15.5792,0
496,2,0,1,30.0,0,0,13.0,3
497,2,0,1,40.0,0,0,16.0,3
498,2,0,1,32.0,0,0,13.5,3
499,2,0,1,30.0,0,0,13.0,3
500,2,0,1,46.0,0,0,26.0,3
501,2,1,0,13.0,0,1,19.5,3
502,2,1,0,41.0,0,1,19.5,3
503,2,1,1,19.0,0,0,10.5,3
504,2,0,1,39.0,0,0,13.0,3
505,2,0,1,48.0,0,0,13.0,3
506,2,0,1,70.0,0,0,10.5,3
507,2,0,1,27.0,0,0,13.0,3
508,2,0,1,54.0,0,0,14.0,3
509,2,0,1,39.0,0,0,26.0,3
510,2,0,1,16.0,0,0,10.5,3
511,2,0,1,62.0,0,0,9.6875,2
512,2,0,1,32.5,1,0,30.0708,0
513,2,1,0,14.0,1,0,30.0708,0
514,2,1,1,2.0,1,1,26.0,3
515,2,1,1,3.0,1,1,26.0,3
516,2,0,1,36.5,0,2,26.0,3
517,2,0,1,26.0,0,0,13.0,3
518,2,0,1,19.0,1,1,36.75,3
519,2,0,1,28.0,0,0,13.5,3
520,2,1,1,20.0,0,0,13.8625,0
521,2,1,0,29.0,0,0,10.5,3
522,2,0,1,39.0,0,0,13.0,3
523,2,1,1,22.0,0,0,10.5,3
524,2,1,1,28.0,0,0,13.8625,0
525,2,0,1,23.0,0,0,10.5,3
526,2,1,1,29.0,0,0,13.8583,0
527,2,0,1,28.0,0,0,10.5,3
528,2,0,1,28.0,0,0,0.0,3
529,2,1,0,50.0,0,1,26.0,3
530,2,0,1,19.0,0,0,10.5,3
531,2,0,1,28.0,0,0,15.05,0
532,2,0,1,41.0,0,0,13.0,3
533,2,1,0,21.0,0,1,21.0,3
534,2,1,0,19.0,0,0,26.0,3
535,2,0,1,43.0,0,1,21.0,3
536,2,1,0,32.0,0,0,13.0,3
537,2,0,1,34.0,0,0,13.0,3
538,2,1,1,30.0,0,0,12.7375,0
539,2,0,1,27.0,0,0,15.0333,0
540,2,1,0,2.0,1,1,26.0,3
541,2,1,0,8.0,1,1,26.0,3
542,2,1,0,33.0,0,2,26.0,3
543,2,0,1,36.0,0,0,10.5,3
544,2,0,1,34.0,1,0,21.0,3
545,2,1,0,30.0,3,0,21.0,3
546,2,1,0,28.0,0,0,13.0,3
547,2,0,1,23.0,0,0,15.0458,0
548,2,1,1,0.8333,1,1,18.75,3
549,2,1,1,3.0,1,1,18.75,3
550,2,1,0,24.0,2,3,18.75,3
551,2,1,0,50.0,0,0,10.5,3
552,2,0,1,19.0,0,0,10.5,3
553,2,1,0,21.0,0,0,10.5,3
554,2,0,1,26.0,0,0,13.0,3
555,2,0,1,25.0,0,0,13.0,3
556,2,0,1,27.0,0,0,26.0,3
557,2,1,0,25.0,0,1,26.0,3
558,2,1,0,18.0,0,2,13.0,3
559,2,1,0,20.0,0,0,36.75,3
560,2,1,0,30.0,0,0,13.0,3
561,2,0,1,59.0,0,0,13.5,3
562,2,1,0,30.0,0,0,12.35,2
563,2,0,1,35.0,0,0,10.5,3
564,2,1,0,40.0,0,0,13.0,3
565,2,0,1,25.0,0,0,13.0,3
566,2,0,1,41.0,0,0,15.0458,0
567,2,0,1,25.0,0,0,10.5,3
568,2,0,1,18.5,0,0,13.0,3
569,2,0,1,14.0,0,0,65.0,3
570,2,1,0,50.0,0,0,10.5,3
571,2,0,1,23.0,0,0,13.0,3
572,2,1,0,28.0,0,0,12.65,3
573,2,1,0,27.0,0,0,10.5,3
574,2,0,1,29.0,1,0,21.0,3
575,2,0,0,27.0,1,0,21.0,3
576,2,0,1,40.0,0,0,13.0,3
577,2,1,0,31.0,0,0,21.0,3
578,2,0,1,30.0,1,0,21.0,3
579,2,0,1,23.0,1,0,10.5,3
580,2,1,0,31.0,0,0,21.0,3
581,2,0,1,28.0,0,0,0.0,3
582,2,1,0,12.0,0,0,15.75,3
583,2,1,0,40.0,0,0,15.75,3
584,2,1,0,32.5,0,0,13.0,3
585,2,0,1,27.0,1,0,26.0,3
586,2,1,0,29.0,1,0,26.0,3
587,2,1,1,2.0,1,1,23.0,3
588,2,1,0,4.0,1,1,23.0,3
589,2,1,0,29.0,0,2,23.0,3
590,2,1,0,0.9167,1,2,27.75,3
591,2,1,0,5.0,1,2,27.75,3
592,2,0,1,36.0,1,2,27.75,3
593,2,1,0,33.0,1,2,27.75,3
594,2,0,1,66.0,0,0,10.5,3
595,2,0,1,28.0,0,0,12.875,3
596,2,1,1,31.0,0,0,13.0,3
597,2,1,1,28.0,0,0,13.0,3
598,2,1,0,26.0,0,0,13.5,3
599,2,0,0,24.0,0,0,13.0,3
600,3,0,1,42.0,0,0,7.55,3
601,3,0,1,13.0,0,2,20.25,3
602,3,0,1,16.0,1,1,20.25,3
603,3,1,0,35.0,1,1,20.25,3
604,3,1,0,16.0,0,0,7.65,3
605,3,1,1,25.0,0,0,7.65,3
606,3,1,1,20.0,0,0,7.925,3
607,3,1,0,18.0,0,0,7.2292,0
608,3,0,1,30.0,0,0,7.25,3
609,3,0,1,26.0,0,0,8.05,3
610,3,0,0,40.0,1,0,9.475,3
611,3,1,1,0.8333,0,1,9.35,3
612,3,1,0,18.0,0,1,9.35,3
613,3,1,1,26.0,0,0,18.7875,0
614,3,0,1,26.0,0,0,7.8875,3
615,3,0,1,20.0,0,0,7.925,3
616,3,0,1,24.0,0,0,7.05,3
617,3,0,1,25.0,0,0,7.05,3
618,3,0,1,35.0,0,0,8.05,3
619,3,0,1,18.0,0,0,8.3,3
620,3,0,1,32.0,0,0,22.525,3
621,3,1,0,19.0,1,0,7.8542,3
622,3,0,1,4.0,4,2,31.275,3
623,3,0,0,6.0,4,2,31.275,3
624,3,0,0,2.0,4,2,31.275,3
625,3,1,0,17.0,4,2,7.925,3
